transID,corridorID,corridorName,direction,tapInStopsName,tapInStopsLat,tapInStopsLon,stopStartSeq,tapInTime,tapOutStopsName,tapOutTime,stopEndSeq,hour_of_day,day_of_week,is_peak_hour,trip_duration_minutes
LFYJ535S2I30DP,M1,Blok M - Kota,0.0,Polda Metro Jaya,-6.221094,106.81028,5,2023-04-03 06:15:29,Karet Sudirman,2023-04-03 06:50:32,7.0,6,Monday,True,35.05
KQIA358G2N38CX,7E,Kampung Rambutan - Ragunan,0.0,Phe Tower Kebagusan,-6.299876,106.83323,16,2023-04-03 05:11:09,Plaza Oleos,2023-04-03 05:38:49,17.0,5,Monday,True,27.666666666666668
RANO576G1J87EO,1P,Senen - Blok M,0.0,Balai Kota 1,-6.180598,106.82847,12,2023-04-03 06:26:34,Bundaran Senayan 1,2023-04-03 06:51:21,29.0,6,Monday,True,24.783333333333335
NZCE828E4J23AW,7D,Pancoran - Kampung Rambutan,0.0,Cikoko Stasiun Cawang Arah Barat,-6.243359,106.85815,11,2023-04-03 06:44:26,Pancoran Tugu Arah Barat,2023-04-03 07:28:00,13.0,6,Monday,True,43.56666666666667
OFPJ170M5O75AP,6H,Senen - Lebak Bulus,1.0,Lebak Bulus,-6.289413,106.77415,0,2023-04-03 05:12:22,Kuningan Timur,2023-04-03 05:35:33,15.0,5,Monday,True,23.183333333333334
LKXU174O1E59EP,14,Jakarta International Stadium - Senen,1.0,Jln. Kwitang Timur,-6.173788,106.85185,2,2023-04-03 06:47:20,Sbr. Jembatan Sukamulya III,2023-04-03 07:34:23,3.0,6,Monday,True,47.05
AXTN077R7Z77JM,BW9,Monas - Pantai Indah Kapuk,1.0,Monas 2,-6.175999,106.82311,7,2023-04-03 06:29:57,Monas 3,2023-04-03 07:24:08,8.0,6,Monday,True,54.18333333333333
WQXL397G5U61OY,JIS3,Harmoni - Jakarta International Stadium,0.0,Kemayoran Landas Pacu Timur,-6.152181,106.85424,9,2023-04-03 06:32:51,Pecenongan,2023-04-03 07:20:21,12.0,6,Monday,True,47.5
RLLZ887W3V14WZ,5M,,1.0,PTUN Jakarta,-6.196388,106.84025,16,2023-04-03 05:29:43,Term. Kampung Melayu 2,2023-04-03 05:58:35,30.0,5,Monday,True,28.866666666666667
JJEK861K6E37KF,2,,0.0,Rawa Selatan,-6.173925,106.85809,9,2023-04-03 05:28:22,Monas,2023-04-03 06:02:36,19.0,5,Monday,True,34.233333333333334
UANX737M9L25GI,JAK.15,Bulak Turi - Tanjung Priok,0.0,Pertamina Kilang Minyak,-6.108789,106.90537,41,2023-04-03 05:12:53,Jln. Elpa Putih II,2023-04-03 05:50:10,50.0,5,Monday,True,37.28333333333333
VUWZ891M7I57EB,R1A,Pantai Maju - Kota,1.0,Jln. BB Utara,-6.120279,106.79409,12,2023-04-03 06:50:06,Centro Metro Broadway,2023-04-03 07:30:53,29.0,6,Monday,True,40.78333333333333
CXLW459Z3A28RD,6N,Ragunan - Blok M via Kemang,0.0,Ampera Garden,-6.288794,106.81818,6,2023-04-03 05:43:45,Arsip Nasional RI 1,2023-04-03 06:19:50,10.0,5,Monday,True,36.083333333333336
AQPU510X2X44PT,M11,Pulo Gebang - Pulo Gadung 2,0.0,Kampung Sumur,-6.214412,106.91189,6,2023-04-03 06:02:30,Flyover Klender,2023-04-03 06:30:30,7.0,6,Monday,True,28.0
BRUT293K1O98GA,JAK.112,Terminal Tanah Merah - Pulo Gadung,0.0,Jln. Gading Mas Barat IV,-6.167384,106.91019,14,2023-04-03 06:59:14,Simpang Jln. Bongo Raya,2023-04-03 07:32:35,17.0,6,Monday,True,33.35
MMEX885R3T18QL,9N,Pinang Ranti - Pramuka,0.0,Garuda Taman Mini,-6.290154,106.88116,1,2023-04-03 05:49:25,BKN,2023-04-03 06:39:28,2.0,5,Monday,True,50.05
UNFK619O2R74DX,JAK.43B,Tongtek - Tebet Eco Park (TEP) - Cililitan,0.0,Sbr. Jln. Cikoko Timur I,-6.244364,106.85867,19,2023-04-03 05:04:52,St. Duren Kalibata 4,2023-04-03 05:47:58,23.0,5,Monday,True,43.1
FTGY161E2O14MG,JAK.42,Kampung Melayu - Pondok Kelapa,1.0,Sbr. Dirjen Anggaran,-6.227253,106.898692,18,2023-04-03 05:35:17,Sbr. Klinik Win Medika,2023-04-03 05:56:59,22.0,5,Monday,True,21.7
ELVU605Z3W26IF,2,Pulo Gadung - Monas,0.0,Rawa Selatan,-6.173925,106.85809,9,2023-04-03 06:35:17,Pecenongan,2023-04-03 07:17:52,18.0,6,Monday,True,42.583333333333336
KPDA909R2T72GD,13,Ciledug - Tendean,1.0,CSW 1,-6.23994,106.79843,3,2023-04-03 05:51:57,Velbak,2023-04-03 06:16:13,5.0,5,Monday,True,24.266666666666666
GIHF067H1Y81IV,7P,Pondok Kelapa - BKN,1.0,Komplek Dolog Jaya,-6.24794,106.91572,15,2023-04-03 06:08:12,Jln. Swakarsa III Pondok Kelapa,2023-04-03 06:40:53,30.0,6,Monday,True,32.68333333333333
IXJW013G5W79VX,JAK.02,Kampung Melayu - Duren Sawit,0.0,Ps. Pondok Bambu 1,-6.238102,106.90243,29,2023-04-03 06:36:49,Gereja Santa Anna 1,2023-04-03 07:13:58,33.0,6,Monday,True,37.15
PKAM574R5S22UG,11,Pulo Gebang - Matraman,1.0,Pasar Enjo,-6.214881,106.87819,3,2023-04-03 05:13:45,Imigrasi Jakarta Timur,2023-04-03 06:02:58,4.0,5,Monday,True,49.21666666666667
IQBJ843C4G34DE,JAK.36,Cilangkap - Cililitan,0.0,Ps. Kramat Jati 2,-6.269037,106.86664,40,2023-04-03 05:58:04,Jln. Olahraga 1 Raya Bogor,2023-04-03 06:39:16,41.0,5,Monday,True,41.2
SRIX686S0S08SW,13B,Puri Beta - Pancoran Barat,1.0,Kebayoran Lama,-6.23834,106.77752,8,2023-04-03 06:33:41,JORR,2023-04-03 07:29:36,12.0,6,Monday,True,55.916666666666664
MLTY652D7F29HW,1Q,Rempoa - Blok M,1.0,One Park Residences,-6.245436,106.78844,9,2023-04-03 06:51:28,Jln. Bungur,2023-04-03 07:29:33,11.0,6,Monday,True,38.083333333333336
NICD824U6H93DE,JAK.06,Kampung Rambutan - Pondok Gede,0.0,Jln. Kramat Lubang Buaya,-6.291363,106.90599,12,2023-04-03 05:37:47,Pertigaan Cedang 1,2023-04-03 06:06:12,24.0,5,Monday,True,28.416666666666668
YEOK544W1J67OX,JAK.14,Tanah Abang - Meruya,1.0,Kec. Kembangan,-6.195068,106.74247,7,2023-04-03 05:33:47,Jln. Jeruk Manis,2023-04-03 06:13:36,18.0,5,Monday,True,39.81666666666667
OPNL705D9K64FN,M7,Kampung Rambutan - Monas,0.0,Pancoran Tugu Arah Barat,-6.2433,106.84388,14,2023-04-03 05:43:23,Bundaran HI,2023-04-03 06:16:38,24.0,5,Monday,True,33.25
KHKM512K0T88LD,JAK.15,Bulak Turi - Tanjung Priok,0.0,SMPN 143,-6.108442,106.93549,16,2023-04-03 05:15:03,Jln. Lorong 22,2023-04-03 05:51:14,44.0,5,Monday,True,36.18333333333333
RHUT145C1U25ZY,T21,,1.0,GBK Pintu 7,-6.222095,106.80861,3,2023-04-03 05:43:48,Palem Semi 1,2023-04-03 06:09:12,14.0,5,Monday,True,25.4
TWAK265Z0M88QR,12A,,0.0,SMKN 56,-6.119094,106.79423,9,2023-04-03 06:13:03,Museum Fatahillah,2023-04-03 06:50:23,18.0,6,Monday,True,37.333333333333336
JQIF022K9P74RM,9D,Pasar Minggu - Tanah Abang,0.0,Grand Pasar Minggu,-6.290648,106.84236,45,2023-04-03 06:46:54,Pasar Minggu,2023-04-03 07:09:23,47.0,6,Monday,True,22.483333333333334
MQCN972F9X71NY,1,Blok M - Kota,1.0,Karet Sudirman,-6.212457,106.82003,14,2023-04-03 06:20:11,Masjid Agung,2023-04-03 07:10:56,19.0,6,Monday,True,50.75
KINJ335N6L86YT,3A,Rusun Pesakih - Kalideres,1.0,Pertamina Kalideres Daan Mogot,-6.15571,106.70927,2,2023-04-03 06:38:56,Rusun Pesakih,2023-04-03 07:03:11,4.0,6,Monday,True,24.25
TDIY341Y5S79UU,6N,Ragunan - Blok M via Kemang,1.0,Sbr. Plaza Kemang 88,-6.270024,106.81553,12,2023-04-03 06:51:56,RSIA Kemang,2023-04-03 07:17:19,18.0,6,Monday,True,25.383333333333333
TFRA396G6W78PD,3C,Rusun Kapuk Muara - Penjaringan,1.0,Penjaringan,-6.126306,106.79203,0,2023-04-03 06:16:29,Rusun Kapuk Muara,2023-04-03 07:11:37,1.0,6,Monday,True,55.13333333333333
GXOP506G9B61EP,M8,Lebak Bulus - Pasar Baru,0.0,Tanah Kusir Kodim,-6.256997,106.78168,20,2023-04-03 05:19:06,Pondok Indah 1,2023-04-03 05:47:40,22.0,5,Monday,True,28.566666666666666
XESL868N6A66XN,B21,Bekasi Timur - Cawang,1.0,Masjid Amar Maruf 2,-6.255062,107.02206,7,2023-04-03 05:02:15,Taman Margahayu 2,2023-04-03 05:57:31,10.0,5,Monday,True,55.266666666666666
IVHH403J9T51JH,12A,Pelabuhan Kaliadem - Kota,1.0,SMAK Penabur Enam 2,-6.115644,106.77506,15,2023-04-03 06:12:41,Pelabuhan Kali Adem,2023-04-03 07:12:09,18.0,6,Monday,True,59.46666666666667
YJMS457L2O20JF,JAK.71,Kampung Rambutan - Pinang Ranti,0.0,SDN Dukuh 01,-6.287794,106.87406,18,2023-04-03 05:12:37,Sbr. Polsek Makasar,2023-04-03 06:06:48,21.0,5,Monday,True,54.18333333333333
NNAE999Q4V92XM,JAK.77,Tanjung Priok - Jembatan Item,0.0,Simpang Jln. Cemara,-6.12663,106.85721,1,2023-04-03 05:11:15,Puskesmas Sunter Agung I,2023-04-03 05:35:24,9.0,5,Monday,True,24.15
UCMI767D7M79GS,M3,,1.0,Sumur Bor,-6.153046,106.71929,2,2023-04-03 06:49:46,Bank Indonesia Arah Selatan,2023-04-03 07:21:09,14.0,6,Monday,True,31.383333333333333
ZHFN555D9L05LU,JAK.44,Andara - Stasiun Universitas Pancasila,0.0,Sbr. Sekolah Islam Al Azhar Jagakarsa,-6.330035,106.82621,25,2023-04-03 05:50:00,Gg. H. Ali,2023-04-03 06:37:49,34.0,5,Monday,True,47.81666666666667
WHTZ386I9S44YF,14,Jakarta International Stadium - Senen,0.0,Danau Agung 1,-6.147281,106.8582,8,2023-04-03 06:42:45,Honda Letjen Suprapto,2023-04-03 07:08:03,16.0,6,Monday,True,25.3
VHUC320U1S58CB,JAK.48B,Stasiun Tebet - Kampung Melayu,0.0,Masjid As Sudairi,-6.220626,106.8591,1,2023-04-03 06:12:01,Jatinegara Timur,2023-04-03 06:57:35,11.0,6,Monday,True,45.56666666666667
DBWI728C0M55ND,8K,Batusari - Grogol,1.0,Simpang Tj. Duren Timur 5,-6.180482,106.78375,12,2023-04-03 06:41:08,Sbr. Jln. Angsana Kemanggisan,2023-04-03 07:20:00,16.0,6,Monday,True,38.86666666666667
HHCJ093F0W41XK,JAK.19,Pinang Ranti - Kampung Rambutan,0.0,Gg. Suka Damai,-6.295718,106.89906,14,2023-04-03 05:57:05,Jln. Kramat I Rawabinong,2023-04-03 06:49:41,27.0,5,Monday,True,52.6
JUNS207R4F95UA,M10,PGC 2 - Tanjung Priok,1.0,Permai Koja Arah Selatan,-6.114359,106.89314,2,2023-04-03 05:59:19,Kayu Putih Rawasari,2023-04-03 06:47:17,10.0,5,Monday,True,47.96666666666667
LFIW578V8Y12XO,10D,Kampung Rambutan - Tanjung Priok,1.0,Cempaka Putih,-6.174207,106.87642,9,2023-04-03 06:03:33,Plumpang Pertamina Arah Utara,2023-04-03 06:28:37,13.0,6,Monday,True,25.066666666666666
GYVC538M6B25WO,JAK.75,Cililitan - Kp. Pulo,0.0,Graha Dirgantara,-6.255702,106.88296,4,2023-04-03 05:42:25,Sbr. Jln. Masjid Al Munir,2023-04-03 06:21:13,25.0,5,Monday,True,38.8
QRFR658M6P01AH,B11,Summarecon Bekasi - BNN,0.0,Jatibening 1,-6.257161,106.94651,5,2023-04-03 06:08:56,Cawang Blue Bird,2023-04-03 06:41:37,6.0,6,Monday,True,32.68333333333333
TKQW976R2D32RY,JAK.52,Terminal Kalideres - Terminal Muara Angke,0.0,Karang Asri,-6.112414,106.77306,26,2023-04-03 05:21:39,Term. Muara Angke 2,2023-04-03 06:12:00,27.0,5,Monday,True,50.35
PCGM443G2W62OB,JAK.37,Cililitan - Condet via Kayu Manis,0.0,Jln. Batu Permata V,-6.279588,106.86244,12,2023-04-03 05:36:10,Simpang Batu Ampar IV Inerbang,2023-04-03 06:25:54,14.0,5,Monday,True,49.733333333333334
PEGV120E5W96OH,JAK.31,Blok M - Andara,0.0,Sbr. Jln. H. Jian 2B Cipete,-6.264625,106.8043,18,2023-04-03 06:07:43,SMPN 68,2023-04-03 06:44:41,30.0,6,Monday,True,36.96666666666667
BUQT197K3D65PN,11M,Rusun Rawa Bebek - Bukit Duri,0.0,Penggilingan,-6.214132,106.93961,2,2023-04-03 05:32:18,Perumnas Klender,2023-04-03 06:27:22,3.0,5,Monday,True,55.06666666666667
UNSO267V8F26WP,JAK.43C,Sarana Jaya - Tebet Eco Park (TEP) - Stasiun Cawang,1.0,Tebet Eco Park Selatan 3,-6.241699,106.85365,1,2023-04-03 06:23:34,Rusun Harum Tebet,2023-04-03 07:14:33,4.0,6,Monday,True,50.983333333333334
RHCN069U6G42WD,2F,Rusun Cakung Barat - Pulo Gadung,1.0,Jln. Anggrek Raya,-6.205168,106.9229,8,2023-04-03 05:13:09,PTC Pulo Gadung,2023-04-03 06:04:38,15.0,5,Monday,True,51.483333333333334
QMHC825R0K38KM,M11,,1.0,Pasar Pulo Gadung,-6.187434,106.90591,0,2023-04-03 06:23:36,Walikota Jakarta Timur,2023-04-03 06:52:14,7.0,6,Monday,True,28.633333333333333
WGRY331M3O87VE,3B,Rusun Flamboyan - Cengkareng,0.0,RSUD Boulevard Raya,-6.13781,106.7304,4,2023-04-03 06:50:15,Mall Taman Palem 3,2023-04-03 07:46:28,6.0,6,Monday,True,56.21666666666667
TKRV681O2S46RW,8C,Kebayoran Lama - Tanah Abang,1.0,Jak Lingko Tanah Abang,-6.185496,106.81105,0,2023-04-03 05:57:14,Jln. Taman Jatibaru Timur,2023-04-03 06:55:59,3.0,5,Monday,True,58.75
ELFD362R2U94NT,M2,Pulo Gadung - Monas,0.0,Bermis,-6.178203,106.89859,1,2023-04-03 05:20:00,Atrium,2023-04-03 06:04:41,12.0,5,Monday,True,44.68333333333333
YYXK265F5N59SE,12B,Pluit - Senen,1.0,Simpang Pluit Raya,-6.127123,106.80441,26,2023-04-03 05:43:01,Landmark Pluit Auto Plaza,2023-04-03 06:29:21,28.0,5,Monday,True,46.333333333333336
ZGJG301G9Z71AR,5D,PGC 1 - Ancol,0.0,Matraman Baru,-6.21288,106.86115,7,2023-04-03 05:28:25,Kramat Sentiong,2023-04-03 06:08:29,13.0,5,Monday,True,40.06666666666667
KNSE319Q1P35CC,9D,Pasar Minggu - Tanah Abang,1.0,Term. Pasar Minggu 2,-6.282492,106.84455,1,2023-04-03 06:25:22,MH Thamrin,2023-04-03 07:11:01,37.0,6,Monday,True,45.65
RMJF585F2W51BQ,JAK.117,Tanjung Priok - Tanah Merdeka,0.0,Sbr. Masjid Ar Rohmah,-6.118964,106.89568,7,2023-04-03 06:23:23,Simpang Jln. Kramat Jaya 1,2023-04-03 06:55:01,25.0,6,Monday,True,31.633333333333333
KFYK655N1H73XS,3H,Jelambar - Kota,0.0,Jelambar,-6.166548,106.78651,0,2023-04-03 06:03:19,Museum Fatahillah,2023-04-03 06:35:04,9.0,6,Monday,True,31.75
WTBE175B2A58NC,14,Jakarta International Stadium - Senen,0.0,Sekolah Penabur Gunung Sahari,-6.170053,106.84024,20,2023-04-03 06:00:02,Term. Senen,2023-04-03 06:54:13,21.0,6,Monday,True,54.18333333333333
SVRH922T8G79FY,JAK.49,Lebak Bulus - Cipulir,0.0,JPO Timur Pondok Indah 1,-6.287054,106.77989,48,2023-04-03 05:59:21,St. MRT Lebak Bulus,2023-04-03 06:53:50,49.0,5,Monday,True,54.483333333333334
WNJA365V4N56HF,7A,Kampung Rambutan - Lebak Bulus,1.0,Gelanggang TB Simatupang,-6.289097,106.77909,4,2023-04-03 06:37:28,Jln. Mastrip,2023-04-03 06:59:54,25.0,6,Monday,True,22.433333333333334
XVWU715D9V59FV,JAK.44,Andara - Stasiun Universitas Pancasila,0.0,Jln. H. Terin Pangkalan Jati,-6.327961,106.80054,0,2023-04-03 06:45:56,Kav Polri Blok E Jagakarsa,2023-04-03 07:36:05,13.0,6,Monday,True,50.15
SLHT241M5V31BZ,7Q,Blok M - PGC,1.0,Jln. Poncol Jaya 1,-6.239706,106.81889,25,2023-04-03 06:35:53,PLN Pusat,2023-04-03 07:03:36,30.0,6,Monday,True,27.716666666666665
CUBV879R6E17WU,JAK.20,Cawang UKI - Lubang Buaya,0.0,Sbr. Gg. Pos Komodor,-6.265515,106.88332,13,2023-04-03 06:09:03,TK Angkasa 8,2023-04-03 06:40:10,39.0,6,Monday,True,31.116666666666667
SFFW927I8N52GM,1M,Meruya - Blok M,0.0,Sbr. Jln. Flamboyan Srengseng,-6.201447,106.75576,11,2023-04-03 06:23:28,Kebayoran Baru Velbak 2,2023-04-03 07:02:10,34.0,6,Monday,True,38.7
NZOZ563E7A86QX,JAK.118,Taman Waduk Papanggo - Kota Tua,0.0,Jln. Hidup Baru,-6.1398,106.8352,25,2023-04-03 06:36:31,Mangga Dua Square,2023-04-03 07:16:53,28.0,6,Monday,True,40.36666666666667
XTVN886V6A58RC,JAK.36,Cilangkap - Cililitan,1.0,Simpang Mabes Hankam Raya Ceger,-6.306299,106.88855,13,2023-04-03 06:27:14,Panti Sosial Bina Laras,2023-04-03 07:23:47,19.0,6,Monday,True,56.55
BNNJ428H8B05IR,5C,PGC - Juanda,0.0,Tegalan,-6.203101,106.85715,10,2023-04-03 06:56:00,Pal Putih,2023-04-03 07:27:18,15.0,6,Monday,True,31.3
LDMO585I7Y51LA,JAK.27,Pulo Gebang - Rorotan,1.0,Pintu Air Gempol 1,-6.183327,106.95957,23,2023-04-03 06:56:17,Gg. Umbang Lingkar Timur,2023-04-03 07:53:38,33.0,6,Monday,True,57.35
CILM584S6W21DC,B11,Summarecon Bekasi - BNN,0.0,RS Mitra Keluarga 1,-6.240672,106.99317,1,2023-04-03 05:55:32,Cawang Blue Bird,2023-04-03 06:34:50,6.0,5,Monday,True,39.3
WWNB500S1E66DW,6Q,Dukuh Atas - Casablanca via Epicentrum Raya,0.0,Casablanca,-6.22425,106.84452,4,2023-04-03 06:09:11,Sbr. Multivision Tower,2023-04-03 06:38:14,13.0,6,Monday,True,29.05
SLIM980A3X96XT,4E,Rusun Jatinegara Kaum - Pulo Gadung,0.0,Masjid Jami Al Makmur Klender,-6.212322,106.90082,2,2023-04-03 06:08:46,Transjakarta Pool Klender,2023-04-03 06:48:21,7.0,6,Monday,True,39.583333333333336
XHEU123Y1Z09JV,JAK.13,,1.0,Simpang Kopi Bandengan Selatan,-6.135839,106.80689,6,2023-04-03 06:37:34,Ps. Tomas,2023-04-03 07:13:31,29.0,6,Monday,True,35.95
MHRF005V2N53OQ,JIS3,Harmoni - Jakarta International Stadium,1.0,Simpang Danau Sunter Utara Barat,-6.139853,106.85663,11,2023-04-03 06:55:00,Jembatan Item,2023-04-03 07:43:33,13.0,6,Monday,True,48.55
IKZD231G3P02MZ,JAK.84,Terminal Kampung Melayu - Kapin Raya,0.0,Ps. Ciplak Cibesel,-6.236104,106.88067,10,2023-04-03 06:58:49,Univ. Borobudur 1,2023-04-03 07:44:32,17.0,6,Monday,True,45.71666666666667
AVMF680H1S53KJ,2H,Rusun Jati Rawasari - Senen,1.0,Sbr. SDN Johar Baru 10,-6.181178,106.86028,13,2023-04-03 06:49:20,Rusun Jati Rawasari,2023-04-03 07:39:46,14.0,6,Monday,True,50.43333333333333
HOIM404G0W62HL,JAK.08,Roxy - Benhil,1.0,Sbr. Mess Polwan Esthi Bhakti Warapsari,-6.206604,106.81005,6,2023-04-03 05:46:08,Kel. Kb. Kacang,2023-04-03 06:44:17,17.0,5,Monday,True,58.15
YTOA058V9U73VN,T21,Palem Semi - Bundaran Senayan,1.0,Islamic,-6.228521,106.61473,10,2023-04-03 06:37:27,Palem Semi 2,2023-04-03 07:20:36,12.0,6,Monday,True,43.15
YEZH881F9T50DI,8E,Bintaro - Blok M,0.0,Kantor Pos Kebayoran Lama,-6.249119,106.778,19,2023-04-03 05:18:27,Pasar Kebayoran Lama,2023-04-03 05:58:36,23.0,5,Monday,True,40.15
VBTE237H7I30UK,JAK.23,Senen - Pisangan Baru,1.0,Jln. Pramuka 1,-6.195283,106.860021,10,2023-04-03 06:53:49,BPPK Jakarta,2023-04-03 07:24:35,16.0,6,Monday,True,30.766666666666666
JINW306B9X30QT,6M,Stasiun Manggarai - Blok M,0.0,Patra Kuningan,-6.232677,106.832087,8,2023-04-03 05:16:17,Gatot Subroto Jamsostek Arah Barat,2023-04-03 05:41:18,10.0,5,Monday,True,25.016666666666666
